ID,Show,Week End,Grosses,Ticket,Nominations
1,Ain't Too Proud,04/07/2019,1337083,122.19,12
2,All My Sons,04/07/2019,248769,91.49,3
3,Be More Chill,04/07/2019,597580,102.5,1
4,Beetlejuice,04/07/2019,765711,77.32,8
5,Burn This,04/07/2019,813664,115.38,14
6,Gary A Sequel To Titus Andronicus,04/07/2019,381334,65.79,7
7,Hadestown,04/07/2019,615074,0,14
8,Hillary and Clinton,04/07/2019,391945,0,1
9,Ink,04/07/2019,258936,0,6
10,King Kong,04/07/2019,688782,0,3
11,King Lear,04/07/2019,473262,0,1
12,Kiss Me Kate,04/07/2019,656862,0,4
13,Network,04/07/2019,1011176,0,5
14,Oklahoma,04/07/2019,451274,0,8
15,The Cher Show,04/07/2019,866212,0,3
16,The Ferryman,04/07/2019,507233,0,9
17,The Prom,04/07/2019,532455,0,7
18,To Kill A Mockingbird,04/07/2019,1628150,0,9
19,Tootsie,04/07/2019,796802,0,11
20,What The Constitution Means To Me,04/07/2019,410927,0,2
1,Ain't Too Proud,04/14/2019,1342738,0,12
2,All My Sons,04/14/2019,424814,0,3
3,Be More Chill,04/14/2019,554910,0,1
4,Beetlejuice,04/14/2019,686456,0,8
5,Burn This,04/14/2019,762998,0,14
6,Gary A Sequel To Titus Andronicus,04/14/2019,388549,0,7
7,Hadestown,04/14/2019,688422,0,14
8,Hillary and Clinton,04/14/2019,375438,0,1
9,Ink,04/14/2019,321953,0,6
10,King Kong,04/14/2019,853394,0,3
11,King Lear,04/14/2019,640045,0,1
12,Kiss Me Kate,04/14/2019,743685,0,4
13,Network,04/14/2019,1006511,0,5
14,Oklahoma,04/14/2019,599132,0,8
15,The Cher Show,04/14/2019,879787,0,3
16,The Ferryman,04/14/2019,529019,0,9
17,The Prom,04/14/2019,601260,0,7
18,To Kill A Mockingbird,04/14/2019,1505427,0,9
19,Tootsie,04/14/2019,821781,0,11
20,What The Constitution Means To Me,04/14/2019,457256,0,2
1,Ain't Too Proud,04/21/2019,1396582,0,12
2,All My Sons,04/21/2019,482132,0,3
3,Be More Chill,04/21/2019,727661,0,1
4,Beetlejuice,04/21/2019,797929,0,8
5,Burn This,04/21/2019,768766,0,14
6,Gary: A Sequel To Titus Andronicus,04/21/2019,300613,0,7
7,Hadestown,04/21/2019,776253,0,14
8,Hillary and Clinton,04/21/2019,340825,0,1
9,Ink,04/21/2019,316263,0,6
10,King Kong,04/21/2019,986113,0,3
11,King Lear,04/21/2019,608717,0,1
12,Kiss Me Kate,04/21/2019,779009,0,4
13,Network,04/21/2019,1020896,0,5
14,Oklahoma,04/21/2019,604973,0,8
15,The Cher Show,04/21/2019,790986,0,3
16,The Ferryman,04/21/2019,517931,0,9
17,The Prom,04/21/2019,659804,0,7
18,To Kill A Mockingbird,04/21/2019,1720828,0,9
19,Tootsie,04/21/2019,907612,0,11
