Show,Week End,Grosses ($)
Ain't Too Proud,04/07/2019,1337083
All My Sons,04/07/2019,248769
Be More Chill,04/07/2019,597580
Beetlejuice,04/07/2019,765711
Burn This,04/07/2019,813664
Gary: A Sequel To Titus Andronicus,04/07/2019,381334
Hadestown,04/07/2019,615074
Hillary and Clinton,04/07/2019,391945
Ink,04/07/2019,258936
King Kong,04/07/2019,688782
King Lear,04/07/2019,473262
"Kiss Me, Kate",04/07/2019,656862
Network,04/07/2019,1011176
Oklahoma,04/07/2019,451274
The Cher Show,04/07/2019,866212
The Ferryman,04/07/2019,507233
The Prom,04/07/2019,532455
To Kill A Mockingbird,04/07/2019,1628150
Tootsie,04/07/2019,796802
What The Constitution Means To Me,04/07/2019,410927
Ain't Too Proud,04/14/2019,1342738
All My Sons,04/14/2019,424814
Be More Chill,04/14/2019,554910
Beetlejuice,04/14/2019,686456
Burn This,04/14/2019,762998
Gary: A Sequel To Titus Andronicus,04/14/2019,388549
Hadestown,04/14/2019,688422
Hillary and Clinton,04/14/2019,375438
Ink,04/14/2019,321953
King Kong,04/14/2019,853394
King Lear,04/14/2019,640045
"Kiss Me, Kate",04/14/2019,743685
Network,04/14/2019,1006511
Oklahoma,04/14/2019,599132
The Cher Show,04/14/2019,879787
The Ferryman,04/14/2019,529019
The Prom,04/14/2019,601260
To Kill A Mockingbird,04/14/2019,1505427
Tootsie,04/14/2019,821781
What The Constitution Means To Me,04/14/2019,457256
