Type	Ticket	Attendance
Musical	127.22	11365
Play	81.28	5874
Musical	98.69	6392
Musical	69.67	11977
Play	124.83	7469
Play	61.77	5738
Musical	129.36	7417
Play	80.09	6160
Play	71.16	4602
Musical	79.31	10176
Play	93.92	6204
Musical	100.06	7954
Play	146.25	7197
Musical	123.76	5266
Musical	105.1	9494
Play	102.32	5819
Musical	82.93	7421
Play	150.6	11661
Musical	93.54	10252
Play	105.09	4549
Musical	133.25	11357
Play	91.49	5201
Musical	80.02	4960
Musical	78.38	9557
Play	110.87	6161
Play	41.82	4927
Musical	158.84	7436
Play	55.17	5266
Play	96.18	4013
Musical	71.33	9567
Play	56.68	5030
Musical	100.3	7379
Play	142.29	7293
Musical	101.15	5208
Musical	103.57	7611
Play	97.88	5541
Musical	86.67	6949
Play	137.16	11621
Musical	102.62	10592
Play	107.05	4524
Musical	132.37	11292
Play	0	0
Musical	76.53	5791
Musical	87.26	11090
Play	93.8	7033
Play	0	0
Musical	187.68	7445
Play	0	0
Play	80.83	4935
Musical	71.76	9289
Play	0	0
Musical	0	0
Play	0	0
Musical	105	4961
Musical	88.04	7384
Play	117.53	8080
Musical	85.57	7646
Play	163	11660
Musical	95.69	8894
Play	105.4	2298
Musical	131.17	11300
Play	0	0
Musical	87.48	6227
Musical	94.04	11251
Play	0	0
Play	0	0
Musical	177.93	7442
Play	0	0
Play	0	0
Musical	71.01	10977
Play	0	0
Musical	0	0
Play	0	0
Musical	107.36	4878
Musical	97.34	8222
Play	0	0
Musical	99.32	8151
Play	164.38	11656
Musical	90.27	9495
Play	110.44	4605
