Type	Ticket	Attendance_Percentage
Musical	127.22	99.76
Play	81.28	99.22
Musical	98.69	89.67
Musical	69.67	100.28
Play	124.83	97.25
Play	61.77	93.15
Musical	129.36	100.99
Play	80.09	97.84
Play	71.16	90.31
Musical	79.31	83.64
Play	93.92	73.93
Musical	100.06	99.62
Play	146.25	101.29
Musical	123.76	101.58
Musical	105.1	86
Play	102.32	71.38
Musical	82.93	88.77
Play	150.6	101.58
Musical	93.54	91.42
Play	105.09	97.53
Musical	133.25	99.69
Play	91.49	87.85
Musical	80.02	69.58
Musical	78.38	80.02
Play	110.87	80.22
Play	41.82	79.98
Musical	158.84	101.25
Play	55.17	83.64
Play	96.18	78.75
Musical	71.33	68.81
Play	56.68	59.94
Musical	100.3	92.42
Play	142.29	102.65
Musical	101.15	100
Musical	103.57	68.94
Play	97.88	67.97
Musical	86.67	83.12
Play	137.16	101.23
Musical	102.62	82.65
Play	107.05	97
Musical	132.37	99.12
Play	0	0
Musical	76.53	81.24
Musical	87.26	92.85
Play	93.8	91.58
Play	0	0
Musical	187.68	101.38
Play	0	0
Play	80.83	96.84
Musical	71.76	66.81
Play	0	0
Musical	0	0
Play	0	0
Musical	105	95.26
Musical	88.04	66.88
Play	117.53	99.12
Musical	85.57	91.46
Play	163	101.57
Musical	95.69	69.4
Play	105.4	98.54
Musical	131.17	99.19
Play	0	0
Musical	87.48	87.36
Musical	94.04	94.2
Play	0	0
Play	0	0
Musical	177.93	101.33
Play	0	0
Play	0	0
Musical	71.01	78.94
Play	0	0
Musical	0	0
Play	0	0
Musical	107.36	93.66
Musical	97.34	74.47
Play	0	0
Musical	99.32	97.5
Play	164.38	101.53
Musical	90.27	74.09
Play	110.44	98.73
