ID,Show,Ticket,Nominations,Capacity,GGvGP,Week End
1,Aint Too Proud,127.22,12,100,100.1,04/28/19
2,All My Sons,81.28,3,99,59.3,04/28/19
3,Be More Chill,98.69,1,90,72.1,04/28/19
4,Beetlejuice,69.67,8,100,63.2,04/28/19
5,Burn This,124.36,14,101,87.7,04/28/19
6,Gary A Sequel To Titus Andronicus,61.77,7,93,40.9,04/28/19
7,Hadestown,129.36,14,101,87.7,04/28/19
8,Hillary and Clinton,80.09,1,98,60.6,04/28/19
9,Ink,71.16,6,90,45.5,04/28/19
10,King Kong,79.31,3,84,60,04/28/19
11,King Lear,93.92,1,74,64.6,04/28/19
12,Kiss Me Kate,100.06,4,100,79.2,04/28/19
13,Network,146.25,5,101,110.3,04/28/19
14,Oklahoma,123.76,8,102,87.4,04/28/19
15,The Cher Show,105.1,3,86,66.9,04/28/19
16,The Ferryman,102.32,9,71,61.7,04/28/19
17,The Prom,82.93,7,89,55.8,04/28/19
18,To Kill A Mockingbird,150.6,9,102,126.7,04/28/19
19,Tootsie,93.54,11,91,64.2,04/28/19
20,What The Constitution Means To Me,105.09,2,98,80.6,04/28/19
1,Aint Too Proud,0,12,100,0,05/12/2019
2,All My Sons,0,3,90,0,05/12/2019
3,Be More Chill,0,1,67,0,05/12/2019
4,Beetlejuice,0,8,80,0,05/12/2019
5,Burn This,0,14,95,0,05/12/2019
6,Gary A Sequel To Titus Andronicus,0,7,90,0,05/12/2019
7,Hadestown,0,14,101,0,05/12/2019
8,Hillary and Clinton,0,1,87,0,05/12/2019
9,Ink,0,6,86,0,05/12/2019
10,King Kong,0,3,65,0,05/12/2019
11,King Lear,0,1,68,0,05/12/2019
12,Kiss Me Kate,0,4,98,0,05/12/2019
13,Network,0,5,101,0,05/12/2019
14,Oklahoma,0,8,99,0,05/12/2019
15,The Cher Show,0,3,82,0,05/12/2019
16,The Ferryman,0,9,72,0,05/12/2019
17,The Prom,0,7,82,0,05/12/2019
18,To Kill A Mockingbird,0,9,101,0,05/12/2019
19,Tootsie,0,11,92,0,05/12/2019
20,What The Constitution Means To Me,0,2,99,0,05/12/2019
